"Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Brasil (Código)","Brasil","Variável (Código)","Variável","Trimestre (Código)","Trimestre","Setores e subsetores (Código)","Setores e subsetores"
"1","Brasil","30","Número-índice",166.91,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201901","1º trimestre 2019","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",169.68,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201902","2º trimestre 2019","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",173.64,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201903","3º trimestre 2019","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",172.03,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201904","4º trimestre 2019","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",167.6,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202001","1º trimestre 2020","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",152.48,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202002","2º trimestre 2020","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",168.37,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202003","3º trimestre 2020","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",171.46,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202004","4º trimestre 2020","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",170.53,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202101","1º trimestre 2021","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",171.38,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202102","2º trimestre 2021","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",175.46,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202103","3º trimestre 2021","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",173.96,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202104","4º trimestre 2021","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",173.05,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202201","1º trimestre 2022","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",177.45,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202202","2º trimestre 2022","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",183.04,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202203","3º trimestre 2022","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",178.65,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202204","4º trimestre 2022","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",180.35,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202301","1º trimestre 2023","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",183.61,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202302","2º trimestre 2023","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",186.63,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202303","3º trimestre 2023","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",182.31,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","202304","4º trimestre 2023","90707","PIB a preços de mercado"
